Character,Frequency,Word
ELAINE,12,felt
ELAINE,10,obviously
ELAINE,14,totally
ELAINE,10,communist
ELAINE,10,boss
ELAINE,62,again
ELAINE,6,michael
ELAINE,8,stock
ELAINE,15,hours
ELAINE,134,would
ELAINE,10,across
ELAINE,6,roy
ELAINE,16,giving
ELAINE,12,ago
ELAINE,12,breath
ELAINE,57,two
ELAINE,7,absolutely
ELAINE,12,sighs
ELAINE,32,such
ELAINE,267,really
ELAINE,6,tongue
ELAINE,11,nods
ELAINE,19,sick
ELAINE,56,fine
ELAINE,10,class
ELAINE,6,suppose
ELAINE,28,takes
ELAINE,7,jealous
ELAINE,36,things
ELAINE,63,she's
ELAINE,73,make
ELAINE,8,dying
ELAINE,22,uhm
ELAINE,83,man
ELAINE,13,check
ELAINE,6,smiles
ELAINE,14,hat
ELAINE,865,oh
ELAINE,23,couch
ELAINE,25,gets
ELAINE,6,babka
ELAINE,8,congratulations
ELAINE,7,grace
ELAINE,55,night
ELAINE,15,water
ELAINE,48,thanks
ELAINE,297,about
ELAINE,34,wrong
ELAINE,119,say
ELAINE,6,jane
ELAINE,14,black
ELAINE,322,like
ELAINE,8,mm
ELAINE,6,answering
ELAINE,7,mannequin
ELAINE,9,seems
ELAINE,178,come
ELAINE,6,finger
ELAINE,9,wake
ELAINE,6,worse
ELAINE,8,mister
ELAINE,137,guy
ELAINE,26,hand
ELAINE,37,money
ELAINE,90,alright
ELAINE,8,gives
ELAINE,7,handing
ELAINE,12,song
ELAINE,9,muffin
ELAINE,24,hell
ELAINE,97,said
ELAINE,21,own
ELAINE,42,hear
ELAINE,6,whenever
ELAINE,17,arm
ELAINE,6,bye-bye
ELAINE,145,didn't
ELAINE,510,just
ELAINE,31,bye
ELAINE,11,wha
ELAINE,10,holds
ELAINE,52,talking
ELAINE,17,came
ELAINE,6,certain
ELAINE,6,realize
ELAINE,14,taken
ELAINE,15,naked
ELAINE,6,closet
ELAINE,6,runs
ELAINE,6,disappointed
ELAINE,53,those
ELAINE,7,fired
ELAINE,17,married
ELAINE,24,another
ELAINE,8,news
ELAINE,283,your
ELAINE,11,broke
ELAINE,123,because
ELAINE,9,putting
ELAINE,11,dogs
ELAINE,6,missed
ELAINE,15,cab
ELAINE,31,friends
ELAINE,136,from
ELAINE,7,babu
ELAINE,21,youre
ELAINE,11,newman
ELAINE,14,plane
ELAINE,73,does
ELAINE,7,far
ELAINE,128,am
ELAINE,9,seconds
ELAINE,9,cute
ELAINE,22,comes
ELAINE,10,susie
ELAINE,9,against
ELAINE,6,cough
ELAINE,8,ow
ELAINE,7,hasn't
ELAINE,7,hadn't
ELAINE,20,talked
ELAINE,14,we've
ELAINE,25,soup
ELAINE,19,under
ELAINE,15,question
ELAINE,8,ping
ELAINE,8,difference
ELAINE,12,huge
ELAINE,64,give
ELAINE,10,annoyed
ELAINE,7,10
ELAINE,26,while
ELAINE,57,guess
ELAINE,7,sweet
ELAINE,45,apartment
ELAINE,13,both
ELAINE,6,concerned
ELAINE,24,father
ELAINE,36,excuse
ELAINE,68,believe
ELAINE,7,mood
ELAINE,9,calls
ELAINE,72,way
ELAINE,9,worried
ELAINE,13,jean-paul
ELAINE,18,quietly
ELAINE,20,lunch
ELAINE,31,care
ELAINE,8,dr
ELAINE,10,late
ELAINE,10,seem
ELAINE,33,real
ELAINE,8,fat
ELAINE,11,hour
ELAINE,20,leaving
ELAINE,12,mistake
ELAINE,7,friday
ELAINE,6,cry
ELAINE,7,worry
ELAINE,78,by
ELAINE,17,terrible
ELAINE,9,entire
ELAINE,19,stuff
ELAINE,19,k
ELAINE,7,given
ELAINE,38,before
ELAINE,41,actually
ELAINE,31,office
ELAINE,8,sign
ELAINE,233,why
ELAINE,10,company
ELAINE,28,hate
ELAINE,6,leg
ELAINE,8,favor
ELAINE,26,sitting
ELAINE,13,uhh
ELAINE,18,ooh
ELAINE,17,susan
ELAINE,6,benefit
ELAINE,17,start
ELAINE,21,happen
ELAINE,14,kiss
ELAINE,25,party
ELAINE,14,chinese
ELAINE,24,taking
ELAINE,39,better
ELAINE,30,same
ELAINE,11,maestro
ELAINE,176,hi
ELAINE,35,leave
ELAINE,29,doctor
ELAINE,66,please
ELAINE,6,joel
ELAINE,81,great
ELAINE,13,working
ELAINE,69,more
ELAINE,6,cartoon
ELAINE,11,smile
ELAINE,74,much
ELAINE,10,bar
ELAINE,15,test
ELAINE,10,quiet
ELAINE,10,hang
ELAINE,24,shoes
ELAINE,20,seinfeld
ELAINE,16,telling
ELAINE,25,help
ELAINE,229,see
ELAINE,21,turns
ELAINE,6,leaning
ELAINE,10,what're
ELAINE,23,room
ELAINE,8,gasps
ELAINE,14,whatever
ELAINE,6,lou
ELAINE,9,weeks
ELAINE,39,remember
ELAINE,14,john
ELAINE,44,will
ELAINE,44,place
ELAINE,31,made
ELAINE,11,relationship
ELAINE,10,todd
ELAINE,7,j
ELAINE,10,b
ELAINE,8,bus
ELAINE,20,pay
ELAINE,13,bet
ELAINE,17,found
ELAINE,18,ahead
ELAINE,12,how's
ELAINE,29,matter
ELAINE,33,wow
ELAINE,7,yesterday
ELAINE,511,my
ELAINE,8,whispering
ELAINE,34,next
ELAINE,23,ill
ELAINE,10,girl
ELAINE,69,hello
ELAINE,24,saying
ELAINE,29,understand
ELAINE,13,ran
ELAINE,9,hits
ELAINE,6,answers
ELAINE,30,everything
ELAINE,18,--
ELAINE,139,then
ELAINE,30,mind
ELAINE,88,-
ELAINE,21,stay
ELAINE,37,stupid
ELAINE,12,set
ELAINE,15,voice
ELAINE,6,picking
ELAINE,194,one
ELAINE,42,isn't
ELAINE,13,weekend
ELAINE,11,behind
ELAINE,84,call
GEORGE,21,close
GEORGE,38,dinner
GEORGE,11,trouble
GEORGE,27,forget
GEORGE,18,parking
GEORGE,73,than
GEORGE,11,lane
GEORGE,18,theyre
GEORGE,81,course
GEORGE,131,doing
GEORGE,6,girls
GEORGE,15,alone
GEORGE,88,day
GEORGE,7,speaking
GEORGE,6,dot
GEORGE,138,mean
GEORGE,18,sees
GEORGE,7,camp
GEORGE,10,sweater
GEORGE,32,outta
GEORGE,19,miss
GEORGE,11,jump
GEORGE,8,straight
GEORGE,73,door
GEORGE,27,break
GEORGE,6,papers
GEORGE,6,steal
GEORGE,6,sandwiches
GEORGE,8,florida
GEORGE,58,anyway
GEORGE,6,hum
GEORGE,271,now
GEORGE,98,ha
GEORGE,7,acting
GEORGE,11,jerk
GEORGE,6,large
GEORGE,15,aware
GEORGE,15,eyes
GEORGE,14,snaps
GEORGE,8,tim
GEORGE,6,land
GEORGE,16,soda
GEORGE,10,allison
GEORGE,12,town
GEORGE,11,breakfast
GEORGE,23,hu
GEORGE,8,writer
GEORGE,8,tired
GEORGE,8,checked
GEORGE,84,wanna
GEORGE,10,fell
GEORGE,20,almost
GEORGE,18,though
GEORGE,9,airport
GEORGE,56,last
GEORGE,15,bite
GEORGE,10,seat
GEORGE,8,pen
GEORGE,15,problems
GEORGE,10,moved
GEORGE,11,boom
GEORGE,6,shoe
GEORGE,181,some
GEORGE,6,weird
GEORGE,88,let's
GEORGE,105,need
GEORGE,9,stick
GEORGE,22,hard
GEORGE,15,most
GEORGE,22,fifty
GEORGE,18,ready
GEORGE,114,let
GEORGE,41,later
GEORGE,23,side
GEORGE,14,box
GEORGE,8,rid
GEORGE,26,salad
GEORGE,10,he'd
GEORGE,12,bedroom
GEORGE,50,cant
GEORGE,7,caught
GEORGE,9,dream
GEORGE,17,bag
GEORGE,19,chance
GEORGE,87,god
GEORGE,284,can't
GEORGE,14,dollar
GEORGE,42,change
GEORGE,14,pointing
GEORGE,21,y'know
GEORGE,58,looks
GEORGE,23,yada
GEORGE,163,thing
GEORGE,18,fantastic
GEORGE,60,bathroom
GEORGE,10,turning
GEORGE,11,cape
GEORGE,15,pull
GEORGE,27,shes
GEORGE,60,away
GEORGE,7,eats
GEORGE,12,snorts
GEORGE,35,called
GEORGE,12,kinda
GEORGE,8,stealing
GEORGE,8,chip
GEORGE,222,an
GEORGE,57,parents
GEORGE,28,date
GEORGE,11,white
GEORGE,18,family
GEORGE,9,cabin
GEORGE,6,burn
GEORGE,21,hair
GEORGE,9,idiot
GEORGE,8,december
GEORGE,8,recorder
GEORGE,12,signal
GEORGE,128,into
GEORGE,1199,me
GEORGE,6,fresh
GEORGE,7,sheila
GEORGE,10,surprise
GEORGE,18,hurt
GEORGE,8,staring
GEORGE,19,vandelay
GEORGE,6,dignity
GEORGE,7,talks
GEORGE,123,too
GEORGE,7,west
GEORGE,14,trip
GEORGE,18,bring
GEORGE,7,laser
GEORGE,8,gay
GEORGE,27,turn
GEORGE,26,best
GEORGE,13,cold
GEORGE,22,six
GEORGE,38,few
GEORGE,33,probably
GEORGE,16,tickets
GEORGE,9,heads
GEORGE,7,frantic
GEORGE,8,pool
GEORGE,83,phone
GEORGE,26,dad
GEORGE,13,engaged
GEORGE,12,aren't
GEORGE,6,single
GEORGE,8,loves
GEORGE,17,short
GEORGE,9,anywhere
GEORGE,43,deal
GEORGE,8,board
GEORGE,7,baldness
